distance,elevation,from,to
104.11103704833413,-231,TA00056,TA00027
85.36059352040195,-640,TA00056,TA00028
66.73590372988433,-1147,TA00056,TA00029
145.38353760660374,-546,TA00056,TA00030
166.4061570037433,-1132,TA00056,TA00054
67.26812876716393,-260,TA00056,TA00057
214.10492375399414,-592,TA00056,TA00061
319.41351877297285,-345,TA00056,TA00064
284.23023903372876,-190,TA00056,TA00065
80.88858791090973,-620,TA00056,TA00066
130.38829945678756,192,TA00056,TA00067
479.4708275024038,1244,TA00056,TA00068
481.9500316670102,1321,TA00056,TA00069
469.59408484686463,1133,TA00056,TA00070
490.16067748748816,1353,TA00056,TA00071
466.0412444972663,1362,TA00056,TA00072
76.01161842170715,-464,TA00056,TA00073
19.0238364571671,-346,TA00056,TA00074
248.42342555187554,206,TA00056,TA00076
234.01515964837992,-389,TA00056,TA00077
44.519409380260946,-7,TA00057,TA00020
291.5713492128097,-310,TA00057,TA00021
182.397855283148,845,TA00057,TA00023
29.132127319974657,116,TA00057,TA00024
11.995076095877385,-162,TA00057,TA00025
131.7635453946992,-300,TA00057,TA00026
171.25251696523625,29,TA00057,TA00027
147.91684612882383,-380,TA00057,TA00028
88.82652245715252,-887,TA00057,TA00029
108.6188408582839,-286,TA00057,TA00030
168.59020776904967,-872,TA00057,TA00054
67.26812876716393,260,TA00057,TA00056
203.25188119331895,-332,TA00057,TA00061
330.1727789090454,-85,TA00057,TA00064
284.0035810187215,70,TA00057,TA00065
21.62092140639283,-360,TA00057,TA00066
104.10537924944235,452,TA00057,TA00067
450.30518019242186,1504,TA00057,TA00068
452.3855594967882,1581,TA00057,TA00069
440.1381892811299,1393,TA00057,TA00070
460.74727780734776,1613,TA00057,TA00071
442.1410464550986,1622,TA00057,TA00072
131.64236263985597,-204,TA00057,TA00073
80.14079210897476,-86,TA00057,TA00074
237.30690697710898,466,TA00057,TA00076
221.08922137110287,-129,TA00057,TA00077
228.41891196892897,325,TA00061,TA00020
126.76146340908643,22,TA00061,TA00021
382.23255783338055,1177,TA00061,TA00023
213.9023279213678,448,TA00061,TA00024
196.69535040864932,170,TA00061,TA00025
102.73152760849779,32,TA00061,TA00026
271.9804122056744,361,TA00061,TA00027
215.64703169167328,-48,TA00061,TA00028
149.25467861239392,-555,TA00061,TA00029
106.84602069795962,46,TA00061,TA00030
55.404683354986695,-540,TA00061,TA00054
214.10492375399414,592,TA00061,TA00056
203.25188119331895,332,TA00061,TA00057
143.86962111678383,247,TA00061,TA00064
85.37639165804778,402,TA00061,TA00065
185.31441780146145,-28,TA00061,TA00066
306.88225107122724,784,TA00061,TA00067
643.3500210815757,1836,TA00061,TA00068
645.0338082459715,1913,TA00061,TA00069
633.0724935028944,1725,TA00061,TA00070
653.4123328697724,1945,TA00061,TA00071
639.4127709977976,1954,TA00061,TA00072
190.25646236343863,128,TA00061,TA00073
203.8435631869838,246,TA00061,TA00074
34.57627147928442,798,TA00061,TA00076
20.276508064731043,203,TA00061,TA00077
362.730079848601,78,TA00064,TA00020
52.22491887515409,-225,TA00064,TA00021
512.569466517213,930,TA00064,TA00023
332.7876553502644,201,TA00064,TA00024
326.3584265677969,-77,TA00064,TA00025
202.41522966319272,-215,TA00064,TA00026
338.038200098846,114,TA00064,TA00027
283.501113276484,-295,TA00064,TA00028
254.02141259434683,-802,TA00064,TA00029
248.03522427027795,-201,TA00064,TA00030
161.72012968834866,-787,TA00064,TA00054
319.41351877297285,345,TA00064,TA00056
330.1727789090454,85,TA00064,TA00057
143.86962111678383,-247,TA00064,TA00061
64.41552383344383,155,TA00064,TA00065
315.88933785622174,-275,TA00064,TA00066
433.44820208201713,537,TA00064,TA00067
779.1015329887721,1589,TA00064,TA00068
781.0111080314929,1666,TA00064,TA00069
768.8685339662419,1478,TA00064,TA00070
789.3950428804358,1698,TA00064,TA00071
772.2228524500817,1707,TA00064,TA00072
265.82816435232775,-119,TA00064,TA00073
303.7462468465798,-1,TA00064,TA00074
123.06274879844904,551,TA00064,TA00076
136.96042955512314,-44,TA00064,TA00077
312.2595554415387,-77,TA00065,TA00020
75.06699371814729,-380,TA00065,TA00021
465.1297314833851,775,TA00065,TA00023
290.9964133123264,46,TA00065,TA00024
278.5836938035252,-232,TA00065,TA00025
165.66031748138877,-370,TA00065,TA00026
321.58229970024314,-41,TA00065,TA00027
